"parent","node","branch.length","label","isTip","x","y","branch","angle"
14,1,0.166773,"100021",TRUE,0,1,-0.0833865,30
14,2,0.166773,"100022",TRUE,0,2,-0.0833865,60
17,3,0.98338,"100007",TRUE,-2.00000000027956e-06,8,-0.491692,240
18,4,0.856656,"100009",TRUE,-2.00000000027956e-06,9,-0.42833,270
19,5,0.522931,"100015",TRUE,-2.00000000005751e-06,10,-0.2614675,300
20,6,0.411526,"100019",TRUE,-2.00000000005751e-06,11,-0.205765,330
20,7,0.411526,"100020",TRUE,-2.00000000005751e-06,12,-0.205765,360
21,8,0.59162,"100011",TRUE,-2.00000000005751e-06,5,-0.295812,150
22,9,0.547028,"100013",TRUE,-2.00000000027956e-06,6,-0.273516,180
22,10,0.547028,"100014",TRUE,-2.00000000027956e-06,7,-0.273516,210
23,11,0.432615,"100017",TRUE,-2.00000000027956e-06,3,-0.2163095,90
23,12,0.432615,"100018",TRUE,-2.00000000027956e-06,4,-0.2163095,120
13,13,0.396842,"100000",FALSE,-1.701423,3.4609375,-1.701423,103.828125
13,14,1.53465,"100001",FALSE,-0.166773,1.5,-0.934098,45
13,15,0.289749,"100002",FALSE,-1.411674,5.421875,-1.5565485,162.65625
15,16,0.143936,"100003",FALSE,-1.267738,7.34375,-1.339706,220.3125
16,17,0.284356,"100005",FALSE,-0.983382,8.9375,-1.12556,268.125
17,18,0.126724,"100008",FALSE,-0.856658,9.875,-0.92002,296.25
18,19,0.333725,"100010",FALSE,-0.522933,10.75,-0.6897955,322.5
19,20,0.111405,"100016",FALSE,-0.411528,11.5,-0.4672305,345
16,21,0.676116,"100006",FALSE,-0.591622,5.75,-0.92968,172.5
21,22,0.044592,"100012",FALSE,-0.54703,6.5,-0.569326,195
15,23,0.979057,"100004",FALSE,-0.432617,3.5,-0.9221455,105
