tree_index,birth_rate,death_rate,extant_species,sampled_species,transfer_rate,seed
0,1.0,0.0,200,60,0.025,755005119
1,1.0,0.0,200,60,0.025,464872782
2,1.0,0.0,200,60,0.025,674629554
3,1.0,0.0,200,60,0.025,605606843
4,1.0,0.0,200,60,0.025,776750813
5,1.0,0.0,200,60,0.025,51050421
6,1.0,0.0,200,60,0.025,973781116
7,1.0,0.0,200,60,0.025,856128899
8,1.0,0.0,200,60,0.025,244076923
9,1.0,0.0,200,60,0.025,640688407
10,1.0,0.0,200,60,0.025,495998530
11,1.0,0.0,200,60,0.025,317166451
12,1.0,0.0,200,60,0.025,688072411
13,1.0,0.0,200,60,0.025,382231076
14,1.0,0.0,200,60,0.025,727356350
15,1.0,0.0,200,60,0.025,1039704339
16,1.0,0.0,200,60,0.025,1008916442
17,1.0,0.0,200,60,0.025,32562760
18,1.0,0.0,200,60,0.025,239920582
19,1.0,0.0,200,60,0.025,48286923
20,1.0,0.0,200,60,0.025,852227298
21,1.0,0.0,200,60,0.025,604745662
22,1.0,0.0,200,60,0.025,357798617
23,1.0,0.0,200,60,0.025,713070250
24,1.0,0.0,200,60,0.025,4119422
25,1.0,0.0,200,60,0.025,88991855
26,1.0,0.0,200,60,0.025,170810064
27,1.0,0.0,200,60,0.025,306853559
28,1.0,0.0,200,60,0.025,461392513
29,1.0,0.0,200,60,0.025,201137451
30,1.0,0.0,200,60,0.025,875398580
31,1.0,0.0,200,60,0.025,977438937
32,1.0,0.0,200,60,0.025,393106865
33,1.0,0.0,200,60,0.025,497248458
34,1.0,0.0,200,60,0.025,591426971
35,1.0,0.0,200,60,0.025,713546198
36,1.0,0.0,200,60,0.025,441013453
37,1.0,0.0,200,60,0.025,63673352
38,1.0,0.0,200,60,0.025,688843167
39,1.0,0.0,200,60,0.025,57362614
40,1.0,0.0,200,60,0.025,237700585
41,1.0,0.0,200,60,0.025,850010367
42,1.0,0.0,200,60,0.025,897774199
43,1.0,0.0,200,60,0.025,272128549
44,1.0,0.0,200,60,0.025,420170434
45,1.0,0.0,200,60,0.025,775913618
46,1.0,0.0,200,60,0.025,20199780
47,1.0,0.0,200,60,0.025,1051678578
48,1.0,0.0,200,60,0.025,835080754
49,1.0,0.0,200,60,0.025,961963830
50,1.0,0.0,200,60,0.025,945262460
51,1.0,0.0,200,60,0.025,881014223
52,1.0,0.0,200,60,0.025,697356996
53,1.0,0.0,200,60,0.025,183649779
54,1.0,0.0,200,60,0.025,716692988
55,1.0,0.0,200,60,0.025,557617587
56,1.0,0.0,200,60,0.025,445119440
57,1.0,0.0,200,60,0.025,998508292
58,1.0,0.0,200,60,0.025,555799637
59,1.0,0.0,200,60,0.025,120847647
60,1.0,0.0,200,60,0.025,982208465
61,1.0,0.0,200,60,0.025,704178619
62,1.0,0.0,200,60,0.025,354190644
63,1.0,0.0,200,60,0.025,993868468
64,1.0,0.0,200,60,0.025,101932664
65,1.0,0.0,200,60,0.025,895637271
66,1.0,0.0,200,60,0.025,523975847
67,1.0,0.0,200,60,0.025,704261262
68,1.0,0.0,200,60,0.025,1067091916
69,1.0,0.0,200,60,0.025,701619301
70,1.0,0.0,200,60,0.025,379098962
71,1.0,0.0,200,60,0.025,305945804
72,1.0,0.0,200,60,0.025,94606343
73,1.0,0.0,200,60,0.025,414514560
74,1.0,0.0,200,60,0.025,936811693
75,1.0,0.0,200,60,0.025,652299845
76,1.0,0.0,200,60,0.025,232742500
77,1.0,0.0,200,60,0.025,291303242
78,1.0,0.0,200,60,0.025,552012442
79,1.0,0.0,200,60,0.025,637339716
80,1.0,0.0,200,60,0.025,750616269
81,1.0,0.0,200,60,0.025,1068911826
82,1.0,0.0,200,60,0.025,896731901
83,1.0,0.0,200,60,0.025,198465339
84,1.0,0.0,200,60,0.025,107763529
85,1.0,0.0,200,60,0.025,587211792
86,1.0,0.0,200,60,0.025,210229506
87,1.0,0.0,200,60,0.025,918267321
88,1.0,0.0,200,60,0.025,345824129
89,1.0,0.0,200,60,0.025,144615984
90,1.0,0.0,200,60,0.025,361897353
91,1.0,0.0,200,60,0.025,438809990
92,1.0,0.0,200,60,0.025,281818515
93,1.0,0.0,200,60,0.025,394642331
94,1.0,0.0,200,60,0.025,308821302
95,1.0,0.0,200,60,0.025,670440281
96,1.0,0.0,200,60,0.025,325612992
97,1.0,0.0,200,60,0.025,67647103
98,1.0,0.0,200,60,0.025,1045796935
99,1.0,0.0,200,60,0.025,585169908
100,1.0,0.0,200,60,0.025,726482055
101,1.0,0.0,200,60,0.025,333419611
102,1.0,0.0,200,60,0.025,801217512
103,1.0,0.0,200,60,0.025,381348834
104,1.0,0.0,200,60,0.025,439471111
105,1.0,0.0,200,60,0.025,129132188
106,1.0,0.0,200,60,0.025,531662884
107,1.0,0.0,200,60,0.025,817059262
108,1.0,0.0,200,60,0.025,987243846
109,1.0,0.0,200,60,0.025,337441718
110,1.0,0.0,200,60,0.025,583777287
111,1.0,0.0,200,60,0.025,14291415
112,1.0,0.0,200,60,0.025,564960983
113,1.0,0.0,200,60,0.025,157959018
114,1.0,0.0,200,60,0.025,1016179900
115,1.0,0.0,200,60,0.025,474977246
116,1.0,0.0,200,60,0.025,284412803
117,1.0,0.0,200,60,0.025,267092134
118,1.0,0.0,200,60,0.025,549110972
119,1.0,0.0,200,60,0.025,990769820
120,1.0,0.0,200,60,0.025,649077826
121,1.0,0.0,200,60,0.025,898631271
122,1.0,0.0,200,60,0.025,8293056
123,1.0,0.0,200,60,0.025,526071553
124,1.0,0.0,200,60,0.025,992511346
125,1.0,0.0,200,60,0.025,76166911
126,1.0,0.0,200,60,0.025,226867374
127,1.0,0.0,200,60,0.025,249108626
128,1.0,0.0,200,60,0.025,995644303
129,1.0,0.0,200,60,0.025,66897728
130,1.0,0.0,200,60,0.025,736848576
131,1.0,0.0,200,60,0.025,617838911
132,1.0,0.0,200,60,0.025,534065352
133,1.0,0.0,200,60,0.025,1044414328
134,1.0,0.0,200,60,0.025,934035587
135,1.0,0.0,200,60,0.025,18397847
136,1.0,0.0,200,60,0.025,977171415
137,1.0,0.0,200,60,0.025,383047468
138,1.0,0.0,200,60,0.025,836997025
139,1.0,0.0,200,60,0.025,963576797
140,1.0,0.0,200,60,0.025,249815373
141,1.0,0.0,200,60,0.025,48913338
142,1.0,0.0,200,60,0.025,442810639
143,1.0,0.0,200,60,0.025,282076299
144,1.0,0.0,200,60,0.025,574435508
145,1.0,0.0,200,60,0.025,988521462
146,1.0,0.0,200,60,0.025,16134369
147,1.0,0.0,200,60,0.025,92471909
148,1.0,0.0,200,60,0.025,506199996
149,1.0,0.0,200,60,0.025,686864238
